Combination Name,algorithm,train_split,test_split,lambda,k,MAE,RMSE,Precision,Recall
"Name_cn_sim_Split_(0.8, 0.2)_K_5_Lambda_0.4",cn_sim,0.8,0.2,0.4,5,0.8108872727814013,1.0273474059281587,0.6854054054054054,0.5123572263309895
"Name_k_faction_sim_Split_(0.8, 0.2)_K_5_Lambda_0.5",k_faction_sim,0.8,0.2,0.5,5,0.8355995900120724,1.0634137628242202,0.6735135135135135,0.5049271316697144
"Name_cn_sim_Split_(0.8, 0.2)_K_5_Lambda_0.5",cn_sim,0.8,0.2,0.5,5,0.813086018960211,1.0300392864189083,0.6812972972972974,0.510346302585348
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_5",KNN-Cosine,0.8,0.2,N/A,5,0.8148426117056556,1.0315363791885717,0.6583783783783784,0.49597663800289304
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_5",KNN-Pearson,0.8,0.2,N/A,5,0.8067835296450836,1.0285434099630286,0.6698378378378378,0.500309496235225
"Name_k_faction_sim_Split_(0.8, 0.2)_K_10_Lambda_0.1",k_faction_sim,0.8,0.2,0.1,10,0.8138996671023041,1.038308082069007,0.6821621621621622,0.5116148438758957
"Name_cn_sim_Split_(0.8, 0.2)_K_10_Lambda_0.1",cn_sim,0.8,0.2,0.1,10,0.7847376077246345,0.9971399452111249,0.6953513513513514,0.5157887733742526
"Name_k_faction_sim_Split_(0.8, 0.2)_K_10_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,10,0.8149380602658131,1.0382798078244841,0.6825945945945947,0.5115721214353331
"Name_cn_sim_Split_(0.8, 0.2)_K_10_Lambda_0.2",cn_sim,0.8,0.2,0.2,10,0.7859443729867277,0.9975829179870008,0.6940540540540541,0.5163471786146993
"Name_k_faction_sim_Split_(0.8, 0.2)_K_10_Lambda_0.3",k_faction_sim,0.8,0.2,0.3,10,0.8156157740852513,1.0389284617314276,0.6825945945945946,0.5096000353535901
"Name_cn_sim_Split_(0.8, 0.2)_K_10_Lambda_0.3",cn_sim,0.8,0.2,0.3,10,0.7882697371687,0.9991701254231454,0.6901621621621621,0.5138164585641095
"Name_k_faction_sim_Split_(0.8, 0.2)_K_10_Lambda_0.4",k_faction_sim,0.8,0.2,0.4,10,0.8166855543296131,1.0399570478581315,0.6804324324324325,0.5085206568124266
"Name_cn_sim_Split_(0.8, 0.2)_K_10_Lambda_0.4",cn_sim,0.8,0.2,0.4,10,0.7900693744451873,1.000702156190465,0.6882162162162162,0.513096333351094
"Name_k_faction_sim_Split_(0.8, 0.2)_K_10_Lambda_0.5",k_faction_sim,0.8,0.2,0.5,10,0.8186130067330686,1.0416705622090574,0.6821621621621622,0.5097195914041764
"Name_cn_sim_Split_(0.8, 0.2)_K_10_Lambda_0.5",cn_sim,0.8,0.2,0.5,10,0.7923722684085689,1.002600425436234,0.6901621621621623,0.51392516059317
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_10",KNN-Cosine,0.8,0.2,N/A,10,0.7874326245970429,0.9949897429104518,0.6791351351351352,0.5089896496452423
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_10",KNN-Pearson,0.8,0.2,N/A,10,0.7735495850885784,0.9870916110045995,0.6892972972972973,0.5093142822751705
"Name_k_faction_sim_Split_(0.8, 0.2)_K_20_Lambda_0.1",k_faction_sim,0.8,0.2,0.1,20,0.810619650315565,1.0341908968106277,0.6851891891891893,0.5133762206954395
"Name_cn_sim_Split_(0.8, 0.2)_K_20_Lambda_0.1",cn_sim,0.8,0.2,0.1,20,0.7780557204983876,0.9886616204382146,0.7009729729729731,0.517702797118016
"Name_k_faction_sim_Split_(0.8, 0.2)_K_20_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,20,0.8106517013158585,1.0338821733763397,0.6845405405405406,0.5129317768309369
"Name_cn_sim_Split_(0.8, 0.2)_K_20_Lambda_0.2",cn_sim,0.8,0.2,0.2,20,0.7797073724041589,0.9889724187911001,0.702918918918919,0.5187883808529834
"Name_k_faction_sim_Split_(0.8, 0.2)_K_20_Lambda_0.3",k_faction_sim,0.8,0.2,0.3,20,0.8121237446069823,1.0348905591015622,0.6825945945945946,0.5135701864289661
"Name_cn_sim_Split_(0.8, 0.2)_K_20_Lambda_0.3",cn_sim,0.8,0.2,0.3,20,0.780854955278224,0.9896871286658082,0.7024864864864865,0.5201513313957529
"Name_k_faction_sim_Split_(0.8, 0.2)_K_20_Lambda_0.4",k_faction_sim,0.8,0.2,0.4,20,0.8136602727942747,1.0361982907156297,0.6832432432432433,0.5128185116237064
"Name_cn_sim_Split_(0.8, 0.2)_K_20_Lambda_0.4",cn_sim,0.8,0.2,0.4,20,0.7829644763700345,0.991544030925347,0.6998918918918919,0.5166953197679874
"Name_k_faction_sim_Split_(0.8, 0.2)_K_20_Lambda_0.5",k_faction_sim,0.8,0.2,0.5,20,0.8151011767760264,1.0375449364262852,0.6845405405405406,0.5115383124635128
"Name_cn_sim_Split_(0.8, 0.2)_K_20_Lambda_0.5",cn_sim,0.8,0.2,0.5,20,0.7850179116362808,0.9935009950238618,0.6955675675675675,0.5152173833611012
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_20",KNN-Cosine,0.8,0.2,N/A,20,0.771905733256383,0.9749750392092564,0.6998918918918918,0.5182575086090127
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_20",KNN-Pearson,0.8,0.2,N/A,20,0.7577675936392229,0.9673577122353189,0.7018378378378379,0.516397906173035
"Name_k_faction_sim_Split_(0.8, 0.2)_K_30_Lambda_0.1",k_faction_sim,0.8,0.2,0.1,30,0.8111541096844459,1.0343818116741534,0.6871351351351351,0.5139650607453169
"Name_cn_sim_Split_(0.8, 0.2)_K_30_Lambda_0.1",cn_sim,0.8,0.2,0.1,30,0.7787052206677748,0.9886343200064065,0.6998918918918919,0.5166440605909685
"Name_k_faction_sim_Split_(0.8, 0.2)_K_30_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,30,0.8115393429844118,1.0341471330328882,0.6864864864864865,0.5141405068416042
"Name_cn_sim_Split_(0.8, 0.2)_K_30_Lambda_0.2",cn_sim,0.8,0.2,0.2,30,0.7796341258857455,0.988702856257362,0.6994594594594594,0.5182259403678219
"Name_k_faction_sim_Split_(0.8, 0.2)_K_30_Lambda_0.3",k_faction_sim,0.8,0.2,0.3,30,0.8123246562078965,1.034807365468339,0.6854054054054054,0.5142965643177878
"Name_cn_sim_Split_(0.8, 0.2)_K_30_Lambda_0.3",cn_sim,0.8,0.2,0.3,30,0.7804745480293268,0.9893666817462908,0.700108108108108,0.5182672625298337
"Name_k_faction_sim_Split_(0.8, 0.2)_K_30_Lambda_0.4",k_faction_sim,0.8,0.2,0.4,30,0.8137099829756463,1.0360353897871746,0.6843243243243243,0.5117449347022239
"Name_cn_sim_Split_(0.8, 0.2)_K_30_Lambda_0.4",cn_sim,0.8,0.2,0.4,30,0.7823678078493145,0.9912022360970688,0.6970810810810811,0.5157430240859242
"Name_k_faction_sim_Split_(0.8, 0.2)_K_30_Lambda_0.5",k_faction_sim,0.8,0.2,0.5,30,0.8150025580361763,1.0373644994234918,0.686918918918919,0.5123832311250599
"Name_cn_sim_Split_(0.8, 0.2)_K_30_Lambda_0.5",cn_sim,0.8,0.2,0.5,30,0.7843742964357517,0.992924459466088,0.6964324324324325,0.5151524738126885
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_30",KNN-Cosine,0.8,0.2,N/A,30,0.7666042301224549,0.9691070086069383,0.7048648648648649,0.5211600984022438
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_30",KNN-Pearson,0.8,0.2,N/A,30,0.753647834799435,0.9617584018928946,0.7057297297297297,0.5198267462391506
"Name_k_faction_sim_Split_(0.8, 0.2)_K_40_Lambda_0.1",k_faction_sim,0.8,0.2,0.1,40,0.8120282175877432,1.0349191272826193,0.6854054054054054,0.5124247787799998
"Name_cn_sim_Split_(0.8, 0.2)_K_40_Lambda_0.1",cn_sim,0.8,0.2,0.1,40,0.7795857827569427,0.9891696607237938,0.6981621621621621,0.5162031296804989
"Name_k_faction_sim_Split_(0.8, 0.2)_K_40_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,40,0.81231991700991,1.0348634605074922,0.6832432432432433,0.5115580013080492
"Name_cn_sim_Split_(0.8, 0.2)_K_40_Lambda_0.2",cn_sim,0.8,0.2,0.2,40,0.780303648773635,0.9893835731845653,0.6992432432432432,0.5177522555534547
"Name_k_faction_sim_Split_(0.8, 0.2)_K_40_Lambda_0.3",k_faction_sim,0.8,0.2,0.3,40,0.8128157890191979,1.0353160034835884,0.6819459459459459,0.510776020538573
"Name_cn_sim_Split_(0.8, 0.2)_K_40_Lambda_0.3",cn_sim,0.8,0.2,0.3,40,0.7815884379096371,0.9903863843505502,0.6996756756756757,0.5182939967439374
"Name_k_faction_sim_Split_(0.8, 0.2)_K_40_Lambda_0.4",k_faction_sim,0.8,0.2,0.4,40,0.813804181041844,1.0361790457166646,0.6836756756756758,0.5115198106800612
"Name_cn_sim_Split_(0.8, 0.2)_K_40_Lambda_0.4",cn_sim,0.8,0.2,0.4,40,0.7830345142955822,0.9917938143998712,0.6977297297297298,0.5168282775576138
"Name_k_faction_sim_Split_(0.8, 0.2)_K_40_Lambda_0.5",k_faction_sim,0.8,0.2,0.5,40,0.8149284685898103,1.0374656713947332,0.6838918918918919,0.50929283230673
"Name_cn_sim_Split_(0.8, 0.2)_K_40_Lambda_0.5",cn_sim,0.8,0.2,0.5,40,0.7845121158776002,0.9931864502953027,0.6964324324324325,0.5150957504271887
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_40",KNN-Cosine,0.8,0.2,N/A,40,0.7641623869783125,0.9666387255548655,0.7068108108108109,0.5230203274171197
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_40",KNN-Pearson,0.8,0.2,N/A,40,0.7519488325768525,0.95987142304747,0.7104864864864865,0.5238413735783568
"Name_k_faction_sim_Split_(0.8, 0.2)_K_50_Lambda_0.1",k_faction_sim,0.8,0.2,0.1,50,0.8124285497007949,1.0354046269664654,0.6847567567567568,0.5123520987042633
"Name_cn_sim_Split_(0.8, 0.2)_K_50_Lambda_0.1",cn_sim,0.8,0.2,0.1,50,0.7803427734519955,0.9900003932505212,0.697945945945946,0.5161517129704921
"Name_k_faction_sim_Split_(0.8, 0.2)_K_50_Lambda_0.2",k_faction_sim,0.8,0.2,0.2,50,0.8125496610757126,1.0351811146557142,0.6823783783783784,0.5112732428057365
"Name_cn_sim_Split_(0.8, 0.2)_K_50_Lambda_0.2",cn_sim,0.8,0.2,0.2,50,0.7812964666828826,0.9904305220803132,0.6985945945945946,0.5172116180780346
"Name_k_faction_sim_Split_(0.8, 0.2)_K_50_Lambda_0.3",k_faction_sim,0.8,0.2,0.3,50,0.813259165972491,1.0357103912078458,0.6789189189189189,0.5087250762700746
"Name_cn_sim_Split_(0.8, 0.2)_K_50_Lambda_0.3",cn_sim,0.8,0.2,0.3,50,0.7826317973948786,0.9914357383372737,0.696,0.5158958679405454
"Name_k_faction_sim_Split_(0.8, 0.2)_K_50_Lambda_0.4",k_faction_sim,0.8,0.2,0.4,50,0.8141322633905327,1.0366607264315675,0.6780540540540541,0.5067916406817056
"Name_cn_sim_Split_(0.8, 0.2)_K_50_Lambda_0.4",cn_sim,0.8,0.2,0.4,50,0.7839029778883674,0.9926632008235617,0.6964324324324324,0.5172119792854274
"Name_k_faction_sim_Split_(0.8, 0.2)_K_50_Lambda_0.5",k_faction_sim,0.8,0.2,0.5,50,0.8150692545836346,1.0376874918100283,0.6815135135135135,0.5087701827549537
"Name_cn_sim_Split_(0.8, 0.2)_K_50_Lambda_0.5",cn_sim,0.8,0.2,0.5,50,0.7849548964980355,0.9938119931820877,0.6938378378378378,0.5151113655456833
"Name_KNN-Cosine_Split_(0.8, 0.2)_K_50",KNN-Cosine,0.8,0.2,N/A,50,0.7635466369595564,0.9661437360042792,0.7061621621621622,0.520654892554392
"Name_KNN-Pearson_Split_(0.8, 0.2)_K_50",KNN-Pearson,0.8,0.2,N/A,50,0.7511875884859374,0.959146572214138,0.7107027027027027,0.522789006719572
"Name_k_faction_sim_Split_(0.7, 0.3)_K_5_Lambda_0.1",k_faction_sim,0.7,0.3,0.1,5,0.8294459986105934,1.0590813244192447,0.7064102564102563,0.3801254820542905
"Name_cn_sim_Split_(0.7, 0.3)_K_5_Lambda_0.1",cn_sim,0.7,0.3,0.1,5,0.8031102044055614,1.0212989819290998,0.7194444444444444,0.38758769504534274
